gene_1	gene_2	weight
ENSG00000152910	ENSG00000204290	0.591642213176267
ENSG00000177535	ENSG00000241322	0.39535703822009843
ENSG00000162896	ENSG00000183160	0.6690580870198751
ENSG00000138286	ENSG00000244482	0.4805085520341715
ENSG00000105321	ENSG00000196497	0.4368635664767895
ENSG00000120253	ENSG00000152061	0.5365063562535989
ENSG00000166152	ENSG00000183067	0.5923781107590455
ENSG00000008516	ENSG00000213085	0.6132938380529969
ENSG00000116833	ENSG00000159885	0.4450231614311064
ENSG00000164796	ENSG00000185344	0.5982481036824567
ENSG00000157326	ENSG00000187105	0.7110346727393128
ENSG00000115946	ENSG00000141200	0.6481962742851984
ENSG00000102393	ENSG00000132792	0.6743505305153454
ENSG00000100461	ENSG00000142449	0.5482590736695362
ENSG00000083535	ENSG00000116871	0.6903075107118037
ENSG00000066739	ENSG00000183963	0.5723765636608364
ENSG00000122729	ENSG00000139233	0.6969731202211098
ENSG00000167916	ENSG00000254402	0.6863377426402061
ENSG00000072195	ENSG00000167755	0.6011991451918686
ENSG00000137571	ENSG00000182957	0.5115644823597786
ENSG00000083520	ENSG00000100038	0.7861206172375114
ENSG00000144406	ENSG00000179044	0.6414703187818274
ENSG00000112159	ENSG00000182177	0.5238252197333996
ENSG00000105877	ENSG00000172794	0.6167194876797683
ENSG00000178234	ENSG00000198646	0.6310968173469523
ENSG00000005471	ENSG00000156136	0.7296976275696312
ENSG00000066933	ENSG00000124257	0.6376804405955859
ENSG00000144935	ENSG00000150750	0.6225031433043723
ENSG00000074771	ENSG00000168710	0.6888686379874153
ENSG00000176294	ENSG00000185567	0.5310413395901544
ENSG00000157388	ENSG00000197283	0.5823122979507407
ENSG00000140451	ENSG00000168615	0.7031006427068568
ENSG00000136848	ENSG00000152104	0.5038971100203817
ENSG00000071909	ENSG00000227057	0.5412551095101962
ENSG00000142599	ENSG00000183378	0.5320655463819973
ENSG00000119723	ENSG00000139304	0.6590702258948998
ENSG00000116478	ENSG00000167880	0.6666858031943237
ENSG00000114541	ENSG00000187775	0.6172244547214939
ENSG00000135912	ENSG00000140455	0.6295560370226942
ENSG00000122367	ENSG00000166436	0.6198280145623439
ENSG00000137274	ENSG00000143952	0.6127130701643219
ENSG00000014914	ENSG00000183833	0.5738067772517303
ENSG00000141012	ENSG00000178878	0.46307176163718566
ENSG00000167588	ENSG00000187775	0.6571268724459495
ENSG00000049167	ENSG00000154920	0.7077655857743789
ENSG00000112159	ENSG00000168569	0.5162901892741191
ENSG00000070061	ENSG00000102595	0.6773739070504271
ENSG00000133739	ENSG00000161664	0.6431652530625944
ENSG00000163395	ENSG00000204396	0.4663640835642124
ENSG00000133742	ENSG00000185038	0.6245193302787799
ENSG00000144406	ENSG00000205639	0.6543031843503061
ENSG00000149403	ENSG00000174844	0.6433483254007681
ENSG00000168477	ENSG00000185640	0.5989293647446893
ENSG00000126838	ENSG00000127603	0.6214241180107697
ENSG00000170606	ENSG00000186951	0.7494789303651924
ENSG00000063176	ENSG00000149262	0.4626578975193688
ENSG00000084674	ENSG00000248712	0.5918413443716326
ENSG00000023839	ENSG00000159423	0.6466825308203008
ENSG00000112137	ENSG00000172766	0.6730711890694717
ENSG00000104687	ENSG00000118729	0.6952351995913306
ENSG00000121764	ENSG00000163867	0.6698990408340768
ENSG00000146707	ENSG00000197410	0.6020473364339447
ENSG00000116752	ENSG00000188266	0.46599088898196184
ENSG00000083099	ENSG00000157064	0.6500344404276271
ENSG00000104324	ENSG00000153113	0.6293258996243598
ENSG00000107864	ENSG00000198783	0.6244509526018838
ENSG00000171505	ENSG00000187955	0.4083520842459802
ENSG00000132824	ENSG00000198682	0.5878513060987404
ENSG00000143107	ENSG00000196578	0.6153363465238664
ENSG00000132274	ENSG00000173442	0.5409269003416658
ENSG00000143537	ENSG00000170044	0.6796372487273318
ENSG00000078579	ENSG00000170454	0.6989151726235961
ENSG00000143669	ENSG00000255307	0.6178384155993296
ENSG00000105695	ENSG00000162542	0.6388611816061045
ENSG00000129493	ENSG00000164161	0.6752315619179236
ENSG00000143341	ENSG00000214866	0.6006920134011187
ENSG00000070610	ENSG00000105738	0.6692023365945501
ENSG00000122417	ENSG00000204131	0.5134772551962017
ENSG00000109265	ENSG00000115109	0.4853631674510161
ENSG00000167676	ENSG00000257743	0.5305303513776132
ENSG00000167755	ENSG00000180433	0.6783745117216289
ENSG00000110799	ENSG00000165730	0.664695755083228
ENSG00000005187	ENSG00000084674	0.5775478529666958
ENSG00000138109	ENSG00000215018	0.512600440708364
ENSG00000159885	ENSG00000167862	0.45080259855278626
ENSG00000143382	ENSG00000181826	0.6826626172644891
ENSG00000143952	ENSG00000170920	0.5985701450334981
ENSG00000127481	ENSG00000151465	0.6987142259311454
ENSG00000131788	ENSG00000188266	0.5350188456927668
ENSG00000110799	ENSG00000136717	0.6774476457390927
ENSG00000127377	ENSG00000197653	0.6838426395270139
ENSG00000091136	ENSG00000108784	0.7075687847343752
ENSG00000136205	ENSG00000196539	0.3900710557663531
ENSG00000143536	ENSG00000174255	0.4422568848546403
ENSG00000121764	ENSG00000178404	0.4265331675683194
ENSG00000100813	ENSG00000151835	0.6277387026576468
ENSG00000116260	ENSG00000155087	0.5340634481255732
ENSG00000091986	ENSG00000157766	0.5830593538843831
ENSG00000154920	ENSG00000182533	0.7164818371524955
ENSG00000090530	ENSG00000156194	0.6253530277941561
ENSG00000006555	ENSG00000135362	0.6216331446755564
ENSG00000061794	ENSG00000178057	0.512416792170063
ENSG00000148219	ENSG00000182263	0.6567612109686639
ENSG00000067704	ENSG00000259494	0.6342453610916532
ENSG00000176909	ENSG00000185567	0.5318577568364325
ENSG00000079308	ENSG00000153093	0.5337769130127265
ENSG00000158816	ENSG00000204021	0.62280833696097
ENSG00000115970	ENSG00000212916	0.6118084995484341
ENSG00000158486	ENSG00000179636	0.6599006291409517
ENSG00000116005	ENSG00000168014	0.6366228871869785
ENSG00000136271	ENSG00000174718	0.5269980895848021
ENSG00000165323	ENSG00000180758	0.5465520843255136
ENSG00000145244	ENSG00000185567	0.5276080774151999
ENSG00000102890	ENSG00000127603	0.6009575608977552
ENSG00000135362	ENSG00000141338	0.6346395711398974
ENSG00000070610	ENSG00000168702	0.6133961608660334
ENSG00000125386	ENSG00000198677	0.5772926265952801
ENSG00000133742	ENSG00000144452	0.5680277994287407
ENSG00000181315	ENSG00000188820	0.6671560106115398
ENSG00000116005	ENSG00000213563	0.423350534886634
ENSG00000165899	ENSG00000174343	0.6230221295946045
ENSG00000088280	ENSG00000184730	0.6326832341806001
ENSG00000105877	ENSG00000154040	0.6492688399226836
ENSG00000116005	ENSG00000179057	0.5420931383641829
ENSG00000162896	ENSG00000168569	0.6743176086002691
ENSG00000101958	ENSG00000134569	0.6474610695820385
ENSG00000127603	ENSG00000183559	0.5970163620441659
ENSG00000101474	ENSG00000114439	0.5445685936621344
ENSG00000132300	ENSG00000198911	0.6025330408332886
ENSG00000165671	ENSG00000170606	0.41024015117037405
ENSG00000134160	ENSG00000164796	0.5682413519429182
ENSG00000172476	ENSG00000180891	0.630309001468246
ENSG00000181649	ENSG00000186952	0.605342766140559
ENSG00000138759	ENSG00000168569	0.5991846498891906
ENSG00000103351	ENSG00000132446	0.6240236067930844
ENSG00000083520	ENSG00000129351	0.7630592374538366
ENSG00000112297	ENSG00000141540	0.5329521589870855
ENSG00000084092	ENSG00000146839	0.5066504676715046
